full_date,mood,activities,mood_num
2020-06-24,good+,workplace work | people (1h+) | friends | party/bar | shopping (courses) | cook (no microw) | gaming | sun (on skin) | walking (30m+) | sport | biking (20m+),4.5
2020-06-23,rad,workplace work | people (1h+) | friends | date (+time spent) | touch | shopping (courses) | cook (no microw) | reading | gaming | sun (on skin) | walking (30m+) | sport | biking (20m+),5
2020-06-22,rad,workplace work | personal work | people (1h+) | friends | date (+time spent) | touch | cook (no microw) | television | sun (on skin) | walking (30m+) | sport,5
2020-06-21,good+,personal work | people (1h+) | friends | party/bar | eating out | cook (no microw) | gaming | television | sun (on skin) | walking (30m+) | sport | biking (20m+),4.5
2020-06-20,good+,workplace work | people (1h+) | friends | party/bar | eating out | cook (no microw) | gaming | television | laundry | sun (on skin) | walking (30m+) | sport | biking (20m+),4.5
2020-06-19,good+,workplace work | personal work | people (1h+) | friends | party/bar | touch | shopping (courses) | cook (no microw) | gaming | television | sun (on skin) | walking (30m+) | sport | biking (20m+),4.5
2020-06-18,meh+,workplace work | personal work | shopping (courses) | cook (no microw) | gaming | films | television | sun (on skin) | sport | biking (20m+),3.5
2020-06-17,good,workplace work | personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | gaming | sun (on skin) | walking (30m+) | sport | biking (20m+),4
2020-06-16,meh+,workplace work | personal work | cook (no microw) | gaming | films | television | sun (on skin) | walking (30m+) | sport | biking (20m+),3.5
2020-06-15,good,workplace work | people (1h+) | friends | shopping (courses) | cook (no microw) | gaming | television | sun (on skin) | walking (30m+) | sport | biking (20m+),4
2020-06-14,rad,personal work | people (1h+) | friends | eating out | shopping (courses) | reading | films | sun (on skin) | walking (30m+),5
2020-06-13,rad,personal work | people (1h+) | friends | cook (no microw) | sun (on skin) | walking (30m+) | sport | biking (20m+),5
2020-06-12,good+,workplace work | personal work | people (1h+) | friends | cook (no microw) | reading | gaming | television | sun (on skin) | walking (30m+) | sport | biking (20m+),4.5
2020-06-11,good,workplace work | personal work | shopping (courses) | cook (no microw) | reading | gaming | television | sun (on skin) | sport | biking (20m+),4
2020-06-10,meh+,workplace work | people (1h+) | friends | shopping (courses) | cook (no microw) | reading | gaming | television | sport | biking (20m+),3.5
2020-06-09,good,workplace work | people (1h+) | friends | cook (no microw) | reading | gaming | sport | biking (20m+),4
2020-06-08,good+,workplace work | people (1h+) | friends | cook (no microw) | gaming | walking (30m+) | sport | biking (20m+),4.5
2020-06-07,good+,personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | gaming | television | walking (30m+) | biking (20m+),4.5
2020-06-06,good+,personal work | people (1h+) | friends | cook (no microw) | reading | television | sun (on skin) | sport | biking (20m+),4.5
2020-06-05,meh+,workplace work | personal work | shopping (courses) | reading | films | television | sport,3.5
2020-06-04,good,workplace work | people (1h+) | cook (no microw) | reading | gaming | films | television | walking (30m+) | biking (20m+),4
2020-06-03,good,workplace work | people (1h+) | friends | cook (no microw) | television | sun (on skin) | walking (30m+) | sport | biking (20m+),4
2020-06-02,good,workplace work | personal work | shopping (courses) | cook (no microw) | reading | television | daysleep | sun (on skin) | sport,4
2020-06-01,good+,workplace work | people (1h+) | shopping (courses) | cook (no microw) | television | sun (on skin) | walking (30m+) | sport | biking (20m+),4.5
2020-05-31,good,workplace work | personal work | people (1h+) | friends | cook (no microw) | reading | television | laundry | sun (on skin) | walking (30m+) | sport | biking (20m+),4
2020-05-30,rad,people (1h+) | friends | shopping (courses) | cook (no microw) | television | sun (on skin) | walking (30m+) | biking (20m+),5
2020-05-29,good+,workplace work | people (1h+) | friends | party/bar | shopping (courses) | cook (no microw) | reading | television | sun (on skin) | walking (30m+) | sport,4.5
2020-05-28,good+,workplace work | people (1h+) | friends | eating out | shopping (courses) | cook (no microw) | television | sun (on skin) | walking (30m+) | sport | biking (20m+),4.5
2020-05-27,good,workplace work | people (1h+) | friends | shopping (courses) | cook (no microw) | reading | films | television | sun (on skin) | walking (30m+) | sport | biking (20m+),4
2020-05-26,good,workplace work | personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | reading | films | television | sun (on skin) | walking (30m+) | sport | biking (20m+),4
2020-05-25,good,workplace work | personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | television | sun (on skin) | walking (30m+) | sport | volley,4
2020-05-24,good+,workplace work | personal work | people (1h+) | friends | cook (no microw) | reading | television | daysleep | sun (on skin) | walking (30m+) | biking (20m+),4.5
2020-05-23,rad,workplace work | people (1h+) | friends | shopping (courses) | sun (on skin) | walking (30m+) | sport | biking (20m+),5
2020-05-22,rad,workplace work | people (1h+) | friends | eating out | sun (on skin) | walking (30m+) | biking (20m+),5
2020-05-21,rad,workplace work | personal work | people (1h+) | friends | date (+time spent) | eating out | shopping (courses) | television | laundry | sun (on skin) | walking (30m+) | sport | biking (20m+),5
2020-05-20,good,workplace work | personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | reading | television | sun (on skin) | walking (30m+) | sport,4
2020-05-19,good+,workplace work | personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | television | sun (on skin) | walking (30m+) | sport | volley,4.5
2020-05-18,good+,workplace work | personal work | people (1h+) | friends | eating out | television | sun (on skin) | walking (30m+) | sport | biking (20m+),4.5
2020-05-17,rad,personal work | people (1h+) | friends | touch | cook (no microw) | television | sun (on skin) | walking (30m+) | biking (20m+),5
2020-05-16,rad,personal work | people (1h+) | friends | cook (no microw) | reading | sun (on skin) | walking (30m+),5
2020-05-15,good+,personal work | people (1h+) | friends | party/bar | shopping (courses) | cook (no microw) | reading | sun (on skin) | sport | biking (20m+),4.5
2020-05-14,meh+,personal work | people (1h+) | friends | cook (no microw) | reading | films | television | sun (on skin) | walking (30m+) | sport,3.5
2020-05-13,good+,personal work | people (1h+) | friends | eating out | sun (on skin) | walking (30m+) | sport | biking (20m+),4.5
2020-05-12,good+,personal work | people (1h+) | friends | eating out | cook (no microw) | reading | sun (on skin) | walking (30m+) | sport | biking (20m+),4.5
2020-05-11,good+,personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | reading | films | laundry | sun (on skin) | walking (30m+),4.5
2020-05-10,good+,personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | reading | television | daysleep | sun (on skin) | walking (30m+) | biking (20m+),4.5
2020-05-09,rad,personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | reading | gaming | films | television | sun (on skin) | walking (30m+) | sport | biking (20m+),5
2020-05-08,rad,personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | reading | gaming | television | drums (GH included) | sun (on skin) | walking (30m+) | sport | biking (20m+),5
2020-05-07,good+,personal work | people (1h+) | friends | cook (no microw) | reading | gaming | drums (GH included) | sun (on skin) | walking (30m+) | sport | biking (20m+),4.5
2020-05-06,meh+,personal work | shopping (courses) | cook (no microw) | reading | gaming | television | drums (GH included) | sun (on skin) | walking (30m+) | sport,3.5
2020-05-05,meh+,personal work | people (1h+) | friends | cook (no microw) | reading | gaming | television | drums (GH included) | walking (30m+) | sport,3.5
2020-05-04,rad,personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | gaming | television | drums (GH included) | sun (on skin) | sport | biking (20m+),5
2020-05-03,good,personal work | people (1h+) | friends | cook (no microw) | reading | gaming | drums (GH included) | sun (on skin) | walking (30m+) | sport,4
2020-05-02,good,personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | reading | gaming | films | drums (GH included) | sun (on skin) | walking (30m+) | sport,4
2020-05-01,good,personal work | people (1h+) | friends | cook (no microw) | gaming | films | drums (GH included) | sun (on skin) | walking (30m+) | sport,4
2020-04-30,good,personal work | people (1h+) | cook (no microw) | reading | gaming | television | walking (30m+) | sport,4
2020-04-29,meh+,personal work | cook (no microw) | reading | gaming | films | laundry | walking (30m+) | sport,3.5
2020-04-28,meh+,personal work | people (1h+) | shopping (courses) | cook (no microw) | reading | gaming | films | television | daysleep | walking (30m+) | sport,3.5
2020-04-27,rad,personal work | people (1h+) | friends | party/bar | shopping (courses) | television | drums (GH included) | sun (on skin) | walking (30m+) | sport,5
2020-04-26,rad,personal work | people (1h+) | friends | cook (no microw) | reading | television | sun (on skin) | walking (30m+) | sport,5
2020-04-25,good+,personal work | people (1h+) | friends | cook (no microw) | television | sun (on skin) | walking (30m+) | sport,4.5
2020-04-24,good,personal work | reading | gaming | television | sun (on skin) | walking (30m+) | sport,4
2020-04-23,good+,personal work | people (1h+) | friends | cook (no microw) | reading | gaming | films | television | sun (on skin) | walking (30m+) | sport,4.5
2020-04-22,good+,personal work | people (1h+) | friends | cook (no microw) | gaming | television | sun (on skin) | walking (30m+) | sport | biking (20m+),4.5
2020-04-21,meh+,personal work | shopping (courses) | cook (no microw) | gaming | films | sun (on skin) | walking (30m+) | sport,3.5
2020-04-20,good+,personal work | cook (no microw) | reading | gaming | films | sun (on skin) | walking (30m+) | sport,4.5
2020-04-19,rad,personal work | people (1h+) | friends | party/bar | cook (no microw) | gaming | films | television | walking (30m+),5
2020-04-18,good,personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | gaming | films | sun (on skin) | walking (30m+) | sport,4
2020-04-17,rad,personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | reading | gaming | television | sun (on skin) | walking (30m+) | sport,5
2020-04-16,good,personal work | people (1h+) | cook (no microw) | gaming | television | sun (on skin) | walking (30m+) | sport,4
2020-04-15,good+,personal work | people (1h+) | reading | gaming | films | cleaning | sun (on skin) | walking (30m+) | sport,4.5
2020-04-14,good+,personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | gaming | television | cleaning | sun (on skin) | sport | biking (20m+),4.5
2020-04-13,meh+,personal work | cook (no microw) | reading | gaming | films | television | sun (on skin) | walking (30m+) | sport,3.5
2020-04-12,meh+,personal work | shopping (courses) | cook (no microw) | gaming | television | laundry | sun (on skin) | walking (30m+) | sport,3.5
2020-04-11,rad,personal work | people (1h+) | friends | cook (no microw) | reading | sun (on skin) | sport,5
2020-04-10,rad,personal work | people (1h+) | friends | shopping (courses) | gaming | sun (on skin) | walking (30m+) | sport,5
2020-04-09,good+,personal work | people (1h+) | friends | cook (no microw) | reading | gaming | sun (on skin) | walking (30m+) | sport,4.5
2020-04-08,good+,personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | films | 4pda/search | sun (on skin) | walking (30m+) | sport,4.5
2020-04-07,rad,personal work | people (1h+) | friends | cook (no microw) | reading | gaming | television | sun (on skin) | walking (30m+) | sport,5
2020-04-06,good+,personal work | shopping (courses) | cook (no microw) | gaming | films | walking (30m+) | sport,4.5
2020-04-05,good+,personal work | people (1h+) | friends | cook (no microw) | gaming | films | sun (on skin),4.5
2020-04-04,good+,personal work | people (1h+) | cook (no microw) | reading | gaming | films | sun (on skin) | walking (30m+) | sport,4.5
2020-04-03,good,personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | reading | gaming | films | 4pda/search | walking (30m+) | sport,4
2020-04-02,good,personal work | cook (no microw) | reading | gaming | films | walking (30m+) | sport,4
2020-04-01,good+,personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | gaming | films | sun (on skin) | walking (30m+) | sport,4.5
2020-03-31,good,personal work | shopping (courses) | cook (no microw) | reading | gaming | films | sun (on skin) | walking (30m+) | sport,4
2020-03-30,good+,personal work | people (1h+) | friends | eating out | shopping (courses) | cook (no microw) | gaming | sun (on skin) | walking (30m+) | sport | biking (20m+),4.5
2020-03-29,good,personal work | people (1h+) | cook (no microw) | gaming | films | walking (30m+) | sport,4
2020-03-28,good+,personal work | people (1h+) | friends | cook (no microw) | gaming | television | sun (on skin) | walking (30m+) | sport,4.5
2020-03-27,meh+,personal work | reading | gaming | films | television | sun (on skin) | walking (30m+) | sport,3.5
2020-03-26,good,personal work | people (1h+) | shopping (courses) | cook (no microw) | gaming | television | sun (on skin) | maladie | walking (30m+),4
2020-03-25,good+,personal work | people (1h+) | reading | gaming | television | daysleep | sun (on skin) | walking (30m+) | sport,4.5
2020-03-24,meh+,personal work | cook (no microw) | reading | gaming | films | television | sun (on skin) | walking (30m+) | sport,3.5
2020-03-23,meh+,personal work | shopping (courses) | reading | gaming | films | television | sun (on skin) | walking (30m+) | sport | biking (20m+),3.5
2020-03-22,meh+,personal work | cook (no microw) | reading | gaming | films | television | sport | biking (20m+),3.5
2020-03-21,good,personal work | shopping (courses) | cook (no microw) | reading | gaming | films | television | walking (30m+) | sport,4
2020-03-20,meh+,personal work | gaming | films | sun (on skin) | sport,3.5
2020-03-19,good+,personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | films | television | sun (on skin) | walking (30m+) | sport,4.5
2020-03-18,good,personal work | people (1h+) | friends | cook (no microw) | television | sun (on skin) | walking (30m+) | sport | biking (20m+),4
2020-03-17,rad,personal work | people (1h+) | friends | eating out | reading | travel | sun (on skin) | walking (30m+),5
2020-03-16,good,people (1h+) | friends | eating out | shopping (courses) | gaming | travel | sun (on skin) | walking (30m+),4
2020-03-15,good,personal work | people (1h+) | friends | eating out | gaming | television | travel | walking (30m+),4
2020-03-14,good,people (1h+) | friends | eating out | travel | walking (30m+),4
2020-03-13,good+,people (1h+) | friends | eating out | shopping (courses) | reading | travel | sun (on skin) | walking (30m+) | biking (20m+),4.5
2020-03-12,good+,personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | gaming | television | sun (on skin) | walking (30m+) | sport | biking (20m+) | volley,4.5
2020-03-11,good,personal work | people (1h+) | friends | party/bar | shopping (courses) | cook (no microw) | gaming | television | biking (20m+),4
2020-03-10,good,personal work | people (1h+) | friends | eating out | shopping (courses) | gaming | films | television | cleaning | walking (30m+) | biking (20m+),4
2020-03-09,meh+,people (1h+) | party/bar | shopping (courses) | cook (no microw) | gaming | sun (on skin) | stress ventre | biking (20m+),3.5
2020-03-08,good+,personal work | people (1h+) | friends | party/bar | eating out | gaming | television | daysleep | travel,4.5
2020-03-07,good,personal work | people (1h+) | friends | party/bar | eating out | reading | films | travel | sun (on skin) | walking (30m+),4
2020-03-06,good,personal work | people (1h+) | friends | party/bar | reading | gaming | stress ventre | walking (30m+) | biking (20m+),4
2020-03-05,meh,personal work | people (1h+) | friends | party/bar | eating out | shopping (courses) | reading | gaming | television | stress ventre | walking (30m+),3
2020-03-04,good+,personal work | people (1h+) | friends | eating out | shopping (courses) | 4pda/search | stress ventre | walking (30m+) | biking (20m+),4.5
2020-03-03,good+,personal work | people (1h+) | friends | date (+time spent) | eating out | shopping (courses) | reading | daysleep | sun (on skin) | walking (30m+) | sport | biking (20m+) | volley,4.5
2020-03-02,meh,personal work | eating out | reading | travel | walking (30m+),3
2020-03-01,good,shopping (courses) | cook (no microw) | gaming | television | travel | walking (30m+),4
2020-02-29,good,shopping (courses) | gaming | television | travel | walking (30m+),4
2020-02-28,good,reading | gaming | travel | walking (30m+),4
2020-02-27,good,personal work | people (1h+) | friends | party/bar | shopping (courses) | gaming,4
2020-02-26,good,personal work | people (1h+) | friends | party/bar | shopping (courses) | cook (no microw) | gaming | television | sun (on skin) | walking (30m+) | biking (20m+),4
2020-02-25,good,personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | gaming | television | walking (30m+),4
2020-02-24,meh,personal work | gaming | sport | biking (20m+) | volley,3
2020-02-23,meh+,personal work | people (1h+) | friends | party/bar | shopping (courses) | films | television | drums (GH included) | laundry | 4pda/search | daysleep | biking (20m+),3.5
2020-02-22,meh+,people (1h+) | friends | party/bar | shopping (courses) | cook (no microw) | gaming | television | walking (30m+) | biking (20m+),3.5
2020-02-21,good,personal work | people (1h+) | friends | eating out | shopping (courses) | gaming | travel | walking (30m+),4
2020-02-20,good,personal work | people (1h+) | friends | party/bar | cook (no microw) | reading | gaming | travel | walking (30m+) | biking (20m+),4
2020-02-19,good+,personal work | people (1h+) | friends | party/bar | eating out | gaming | shopping (big) | daysleep,4.5
2020-02-18,good+,personal work | people (1h+) | friends | eating out | cook (no microw) | reading | daysleep | sun (on skin) | walking (30m+),4.5
2020-02-17,meh+,personal work | people (1h+) | party/bar | eating out | reading | daysleep | sun (on skin) | walking (30m+) | biking (20m+),3.5
2020-02-16,good+,personal work | people (1h+) | friends | party/bar | eating out | gaming | drums (GH included) | walking (30m+) | biking (20m+),4.5
2020-02-15,good+,personal work | people (1h+) | friends | date (+time spent) | touch | eating out | gaming | travel | walking (30m+) | biking (20m+),4.5
2020-02-14,rad,personal work | people (1h+) | date (+time spent) | touch | gaming | cleaning | walking (30m+) | biking (20m+),5
2020-02-13,good,personal work | people (1h+) | party/bar | eating out | cook (no microw) | gaming | walking (30m+),4
2020-02-12,meh+,personal work | people (1h+) | friends | eating out | gaming | television | walking (30m+) | biking (20m+),3.5
2020-02-11,good,personal work | people (1h+) | friends | shopping (courses) | reading | gaming | walking (30m+) | sport | volley,4
2020-02-10,good,personal work | people (1h+) | friends | party/bar | shopping (courses) | cook (no microw) | reading | gaming | sun (on skin) | biking (20m+),4
2020-02-09,good,personal work | people (1h+) | friends | party/bar | eating out | cook (no microw) | reading | gaming | television | drums (GH included) | laundry | daysleep | stress ventre,4
2020-02-08,good,personal work | people (1h+) | friends | party/bar | date (+time spent) | touch | eating out | gaming | stress ventre | walking (30m+) | biking (20m+),4
2020-02-07,good,personal work | people (1h+) | friends | party/bar | eating out | shopping (courses) | gaming | walking (30m+) | biking (20m+),4
2020-02-06,good,personal work | people (1h+) | friends | party/bar | shopping (courses) | gaming | sun (on skin) | walking (30m+) | biking (20m+),4
2020-02-05,good+,personal work | people (1h+) | party/bar | reading | walking (30m+),4.5
2020-02-04,good+,personal work | people (1h+) | date (+time spent) | touch | eating out | cook (no microw) | reading | gaming | walking (30m+),4.5
2020-02-03,good,workplace work | personal work | people (1h+) | party/bar | reading | stress ventre | walking (30m+) | biking (20m+),4
2020-02-02,rad,personal work | people (1h+) | friends | party/bar | eating out | gaming | drums (GH included) | stress ventre | walking (30m+) | biking (20m+),5
2020-02-01,good,people (1h+) | friends | party/bar | touch | reading | gaming | television | daysleep | walking (30m+) | biking (20m+),4
2020-01-31,good,personal work | people (1h+) | party/bar | gaming | television | sun (on skin) | walking (30m+) | biking (20m+),4
2020-01-30,meh+,workplace work | personal work | shopping (courses) | reading | gaming | television | daysleep | stress ventre,3.5
2020-01-29,good,workplace work | personal work | people (1h+) | friends | date (+time spent) | touch | cook (no microw) | gaming | sun (on skin) | walking (30m+) | biking (20m+),4
2020-01-28,good+,personal work | people (1h+) | party/bar | reading | walking (30m+),4.5
2020-01-27,meh+,personal work | people (1h+) | friends | party/bar | shopping (courses) | cook (no microw) | reading | gaming | television | biking (20m+),3.5
2020-01-26,rad,people (1h+) | friends | party/bar | eating out | shopping (courses) | reading | drums (GH included) | walking (30m+) | biking (20m+),5
2020-01-25,meh+,people (1h+) | party/bar | reading | gaming | walking (30m+) | biking (20m+),3.5
2020-01-24,meh+,workplace work | personal work | people (1h+) | friends | shopping (courses) | cook (no microw) | reading | gaming,3.5
2020-01-23,good,workplace work | people (1h+) | friends | party/bar | reading | gaming | daysleep,4
2020-01-22,good,workplace work | personal work | people (1h+) | friends | party/bar | shopping (courses) | reading | gaming | biking (20m+),4
2020-01-21,good,workplace work | people (1h+) | party/bar | date (+time spent) | touch | cook (no microw) | reading | gaming | television,4
2020-01-20,rad,workplace work | people (1h+) | friends | party/bar | shopping (courses) | cook (no microw) | reading | gaming | sport | biking (20m+) | volley,5
2020-01-19,rad,personal work | people (1h+) | friends | party/bar | touch | eating out | reading | gaming | drums (GH included) | sun (on skin) | walking (30m+) | biking (20m+),5
2020-01-18,good+,personal work | people (1h+) | friends | date (+time spent) | eating out | shopping (courses) | cook (no microw) | reading | gaming | television | sun (on skin) | walking (30m+),4.5
2020-01-17,rad,workplace work | people (1h+) | shopping (courses) | reading | stress ventre | walking (30m+),5
2020-01-16,meh+,workplace work | people (1h+) | friends | party/bar | reading | television | walking (30m+),3.5
2020-01-15,good,workplace work | people (1h+) | party/bar | shopping (courses) | cook (no microw) | reading | gaming | television,4
2020-01-14,good,workplace work | people (1h+) | friends | shopping (courses) | cook (no microw) | gaming | television | walking (30m+) | biking (20m+),4
2020-01-13,good,workplace work | people (1h+) | party/bar | reading | gaming | television | stress ventre | walking (30m+) | biking (20m+),4
2020-01-12,rad,personal work | people (1h+) | friends | party/bar | eating out | gaming | drums (GH included) | walking (30m+) | sport | biking (20m+),5
2020-01-11,good+,people (1h+) | friends | party/bar | date (+time spent) | touch | shopping (courses) | daysleep | stress ventre,4.5
2020-01-10,rad,workplace work | people (1h+) | friends | travel | sun (on skin) | walking (30m+),5
2020-01-09,good,workplace work | people (1h+) | date (+time spent) | touch | shopping (courses) | reading | gaming | television | daysleep,4
2020-01-08,meh+,workplace work | people (1h+) | party/bar | touch | eating out | reading | gaming | stress ventre,3.5
2020-01-07,good,workplace work | personal work | people (1h+) | friends | party/bar | date (+time spent) | touch | shopping (courses) | reading | television | stress ventre | walking (30m+),4
2020-01-06,good,workplace work | people (1h+) | cook (no microw) | reading | television | sport | volley,4
2020-01-05,rad,people (1h+) | friends | party/bar | date (+time spent) | touch | eating out | shopping (courses) | drums (GH included) | shopping (big) | biking (20m+),5
2020-01-04,good,personal work | people (1h+) | friends | eating out | cook (no microw) | films | daysleep | walking (30m+) | biking (20m+),4
2020-01-03,bad,workplace work | cook (no microw) | reading | gaming | films,2
2020-01-02,meh,workplace work | cook (no microw) | reading | gaming | television | daysleep,3
2020-01-01,good,workplace work | people (1h+) | friends | cook (no microw) | reading | gaming | sport,4
2019-12-31,rad,workplace work | people (1h+) | friends | party/bar | gaming | television | sun (on skin) | walking (30m+),5
2019-12-30,meh,workplace work | cook (no microw) | reading | gaming | television | 4pda/search | walking (30m+) | italiano,3
2019-12-29,rad,workplace work | people (1h+) | friends | party/bar | reading | gaming | walking (30m+),5
2019-12-28,good,people (1h+) | friends | eating out | reading | gaming | television,4
2019-12-27,good,people (1h+) | friends | party/bar | cook (no microw) | reading | gaming | television | cleaning | walking (30m+),4
2019-12-26,good,workplace work | people (1h+) | friends | films | television,4
2019-12-25,rad,people (1h+) | friends | cook (no microw) | gaming | films | daysleep | walking (30m+),5
2019-12-24,rad,workplace work | people (1h+) | party/bar | cook (no microw) | reading | gaming | television | walking (30m+),5
2019-12-23,good,workplace work | people (1h+) | party/bar | cook (no microw) | reading | gaming | television,4
2019-12-22,good,workplace work | people (1h+) | party/bar | reading | gaming | television | laundry | italiano,4
2019-12-21,meh,workplace work | people (1h+) | cook (no microw) | gaming | films | television | italiano,3
